,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
388,Trae Young,ATL,24,73,38,35,34.8,114.6,2.2,6.2,9.3,1.1,22,0.1,3.4,11.2,10.8,12.1,41.1,0.087
389,Malik Beasley,LAL,26,81,45,36,25.8,114.6,3.1,11.6,17.2,0.8,22.3,0.1,4.5,10,7.8,9.5,30.2,0.063
390,Terrence Ross,PHX,32,63,27,36,21.1,114.7,2.1,9.9,14.4,0.6,21.1,0.2,7.4,7.4,5.7,6.4,22.1,0.052
391,P.J. Washington,CHA,24,73,24,49,32.6,114.8,3.9,11.8,17.5,0.9,17.6,1.1,31.1,10.7,9.6,7.8,35.9,0.08
392,Kristaps Porzingis,WAS,27,65,27,38,32.6,114.8,6.6,19.4,27.7,0.9,21,1.5,43.7,11.1,9.4,10.4,34,0.078
393,Austin Rivers,MIN,30,52,25,27,19.5,114.8,1.5,7.8,12.4,0.5,16.5,0.1,3.9,7.6,6,6,21.8,0.048
394,Jae'Sean Tate,HOU,27,31,7,24,21.9,114.8,2.5,11.4,16.4,0.7,22.3,0.2,11.3,9.2,5.3,6.7,20.5,0.053
395,Davis Bertans,DAL,30,45,20,25,10.9,114.8,1,8.6,13.7,0.2,19.3,0.2,21.1,3.4,3.2,2.7,10.9,0.027
396,Jericho Sims,NYK,24,52,31,21,15.6,114.9,2.8,17.5,25.7,0.3,16.9,0.5,52.8,5.5,4.2,4,14.7,0.037
397,Udoka Azubuike,UTA,23,36,17,19,10,114.9,2.4,22.4,34,0.2,12.2,0.4,53.6,4.7,3.8,3.5,9.6,0.024
398,Rodney McGruder,DET,31,32,4,28,16.4,114.9,1.7,10.9,17.1,0.5,18.4,0,2.4,5.4,4.6,4.6,18.5,0.039
399,Jeff Green,DEN,36,56,33,23,19.5,115,1.9,9.6,14.2,0.3,12.1,0.3,17.2,8.1,5.6,6.2,20.5,0.046
400,Thaddeus Young,TOR,35,54,23,31,14.7,115,1.8,13.6,20.5,1,34.4,0.1,6.9,5,4.4,5.1,15.3,0.035
401,Isaiah Jackson,IND,21,63,24,39,16.5,115.2,2.7,15.9,25.1,0.5,17.6,1.5,63.3,6.8,5.2,5.5,19.3,0.039
402,Harrison Barnes,SAC,31,82,48,34,32.5,115.2,3.4,10.7,15.2,0.7,15,0.1,6.1,10.6,8.6,8.1,36.7,0.075
403,John Collins,ATL,25,71,37,34,30,115.2,5.4,18,26,0.6,13.8,1,35.3,9.5,8.7,9.8,35.4,0.069
404,Jalen Smith,IND,23,68,31,37,18.8,115.3,3.9,20.1,29.6,0.3,11.6,0.9,41.7,7.4,6,7.1,21.3,0.043
405,Kobi Simmons,CHA,25,5,1,4,5.6,115.3,0.6,8.8,13,0,0,0.4,100,3.8,1.8,2.4,5.6,0.013
406,Paolo Banchero,ORL,20,72,31,41,33.7,115.3,5.7,17.4,25.3,0.8,15.2,0.5,18.9,12.5,9.7,9.4,34.5,0.077
407,Mfiondu Kabengele,BOS,25,4,3,1,9.1,115.3,1.3,15.2,27.8,0.5,33.3,0,0,4,3.3,3,9.5,0.02
408,Kelly Oubre Jr.,CHA,27,48,16,32,32.2,115.3,3.8,12.1,18.1,1.4,26.9,0.4,11.8,10.9,9.9,8.1,35.9,0.073
409,Dejounte Murray,ATL,26,74,38,36,36.4,115.4,4.5,12.7,18,1.5,27.8,0.3,7.1,11.2,9.6,11.7,42.1,0.081
410,DeAndre Jordan,DEN,34,39,23,16,15,115.4,3.8,25.2,37.8,0.3,14.1,0.6,39,6,4.4,4.7,16.2,0.034
411,Julius Randle,NYK,28,77,44,33,35.5,115.4,8.1,22.6,33.4,0.6,14.2,0.3,9.8,10.8,10,9.9,34.1,0.079
412,Romeo Langford,SAS,23,43,14,29,19.6,115.5,1.3,6.7,9.9,0.6,21.2,0.3,17.1,7.1,5.5,6.8,23.3,0.044
413,Usman Garuba,HOU,21,75,21,54,12.9,115.5,2.5,19.4,29.5,0.6,25.1,0.4,33.3,6.1,3.1,4.7,13.2,0.029
414,Daniel Theis,IND,31,7,1,6,15.5,115.5,2.1,14.7,24.2,0.3,11.1,0.9,60,7.1,5.9,4,17.7,0.034
414,Jakob Poeltl,TOR,27,72,26,46,26.5,115.5,5.8,24,34.3,0.9,19.7,1.2,50.9,9.8,6.6,8.2,30.2,0.06
414,Omer Yurtseven,MIA,25,9,5,4,9.2,115.5,1.7,17.9,29.4,0.2,15.4,0.2,33.3,2.7,2.8,3.4,10.2,0.021
417,Torrey Craig,PHX,32,79,44,35,24.7,115.5,3.6,14.6,22.2,0.6,17.8,0.8,29.5,8.2,7.3,7.4,25.5,0.054
418,De'Andre Hunter,ATL,25,67,35,32,31.7,115.5,3.6,11.2,16.2,0.5,11.9,0.3,8.1,9.9,8.9,10.6,36.6,0.07
419,Chris Duarte,IND,26,46,19,27,19.5,115.6,2.1,10.6,16.2,0.5,17.1,0.2,9,7.8,6,6.4,21.5,0.043
420,Terry Rozier,CHA,29,63,19,44,35.3,115.6,3.3,9.5,14,1.2,21.1,0.3,7.3,11.4,10.5,9.1,39.3,0.077
421,Jaden Hardy,DAL,20,48,20,28,14.8,115.6,1.6,10.6,16.1,0.4,23.3,0.1,11.3,4.4,5.3,4.8,16.2,0.033
422,Johnny Juzang,UTA,22,18,6,12,12.9,115.6,1.7,12.2,17.5,0.2,17.4,0.2,11.5,5.3,3.4,3.8,12,0.029
423,Corey Kispert,WAS,24,74,31,43,28.3,115.6,2.4,8.2,11.7,0.4,11,0.1,4.5,10.1,8.1,8.3,31.6,0.062
424,Isaiah Livers,DET,24,52,10,42,23.1,115.6,2.2,9.6,14.9,0.5,16.5,0.5,24.1,8.7,6.4,5.7,24.4,0.05
425,Precious Achiuwa,TOR,23,55,30,25,20.7,115.6,4.1,21.3,31.5,0.6,16.5,0.5,22.6,6.5,5.3,6.5,21.8,0.045
426,Anfernee Simons,POR,24,62,27,35,35,115.7,2.3,6.7,10,0.7,14.5,0.2,7,12,9.8,10.3,38.2,0.075
427,Udonis Haslem,MIA,43,7,4,3,10.3,115.7,1,10.1,18.9,0.1,6.3,0.3,22.2,3.9,2.7,3.3,9.7,0.024
428,Jaylin Williams,OKC,21,49,23,26,18.7,115.7,4,23,32.5,0.6,18.2,0.2,20.7,6,5.2,5.4,20.3,0.04
429,Kevin Knox II,POR,23,63,12,51,15.1,115.8,2.3,15.2,23.6,0.4,15.4,0.2,15,6.1,4.4,4.6,17.1,0.033
430,Theo Maledon,CHA,22,44,14,30,19.4,115.8,2.5,12.8,19.2,0.8,29.4,0.3,13.6,7.8,6,4.3,21.7,0.041
431,Bennedict Mathurin,IND,21,78,33,45,28.5,115.8,3,10.3,16.3,0.6,13.7,0.2,4.9,11.3,9.3,8.7,32.2,0.061
432,Gary Harris,ORL,28,48,22,26,24.7,115.8,1.6,6.9,10,0.9,23,0.3,12.8,8.8,7.3,7.3,26.2,0.052
433,Thomas Bryant,DEN,25,59,33,26,18.3,115.8,4.3,22.3,32.6,0.3,12.4,0.5,37,6.1,5.7,5.7,21.7,0.04
434,R.J. Hampton,DET,22,47,9,38,15.9,115.8,1.5,9.3,14.9,0.6,22.1,0.2,13.4,6.7,5.2,4.9,18,0.033
435,Kessler Edwards,SAC,22,36,17,19,10.7,115.8,1.1,10.2,15.6,0.4,22.6,0.2,21.4,4,3.1,2.6,10.4,0.023
436,Kris Dunn,UTA,29,22,8,14,25.8,115.9,4.1,14.8,21.8,1.1,34.7,0.5,15.9,10,8.3,8.1,26.8,0.056
437,Bradley Beal,WAS,30,50,24,26,33.5,115.9,3.1,9.1,13.1,0.9,19.8,0.7,17.3,11.1,9.8,9.3,34.6,0.068
438,Dominick Barlow,SAS,20,28,5,23,14.6,115.9,2,13.1,18.7,0.4,17.9,0.7,48.7,6.6,4.5,4.6,15.9,0.031
439,Kelly Olynyk,UTA,32,68,28,40,28.6,116,5,16.4,24.9,0.9,26,0.5,18.2,11.5,9,9.8,31.3,0.059
440,Luka Doncic,DAL,24,66,33,33,36.2,116,7.8,22.4,34.2,1.4,28.3,0.5,19.3,11.5,10.6,10.2,37.8,0.074
441,Mike Conley,MIN,35,67,34,33,30.3,116.1,2.2,7.5,11.1,1.1,25.8,0.2,7.4,9.9,8.7,10.2,34.4,0.06
442,Bogdan Bogdanovic,ATL,30,54,27,27,27.9,116.1,2.6,9.3,13.7,0.8,21,0.3,10.7,9.3,8.4,8.9,29.6,0.056
443,Jacob Gilyard,MEM,24,1,0,1,40.8,116.1,4,9.5,14.8,3,50,0,0,11,12,13,52,0.083
444,Lonnie Walker IV,LAL,24,56,27,29,23.2,116.1,1.7,6.9,10.2,0.5,17.1,0.3,13.7,8.9,7,8.6,25.8,0.048
445,Theo Pinson,DAL,27,40,19,21,8.1,116.2,1.3,16.3,24.4,0.2,19.4,0,3.6,2.3,2.5,2.4,9.3,0.017
446,Jarred Vanderbilt,LAL,24,78,43,35,24.1,116.2,5.3,21.6,32.9,1.1,30.4,0.3,14.3,8.7,7.7,8.4,28.6,0.048
447,Bryn Forbes,MIN,29,25,9,16,10.7,116.2,0.4,4,6.2,0.3,15.9,0.1,6.9,4.6,3.3,3.2,11.4,0.022
448,Jalen Duren,DET,19,67,16,51,24.9,116.2,5.5,22.1,34.3,0.7,18,0.9,48.8,9.5,7.7,7.2,27.9,0.049
449,Zach Collins,SAS,25,63,20,43,22.9,116.3,4.5,19,29.4,0.6,18.9,0.8,48,9,7.4,7.1,27,0.046
450,Myles Turner,IND,27,62,29,33,29.4,116.3,6.1,20.5,31.5,0.6,12.4,2.3,61.9,9.8,9.7,8.4,31.5,0.058
451,Collin Sexton,UTA,24,48,24,24,23.9,116.3,1.4,5.6,8.8,0.6,20.6,0.1,5.4,9.8,8,9.3,27.8,0.048
452,Ty Jerome,GSW,25,45,22,23,18.1,116.3,1.6,9.1,14,0.5,18.5,0.1,9.1,7.9,5,3.7,18.5,0.035
453,Buddy Hield,IND,30,80,35,45,31,116.3,4.2,13.2,20.3,1.2,22.6,0.3,8.6,11.5,10.4,9.3,34.2,0.061
454,Eric Gordon,LAC,34,69,25,44,28.5,116.4,1.7,5.9,8.7,0.6,15.3,0.4,11.8,12.1,8.3,10.1,30.1,0.057
455,A.J. Lawson,DAL,22,15,5,10,7.2,116.4,1,15.2,20,0.1,16.7,0,0,2.1,1.7,2,9.1,0.015
456,Sandro Mamukelashvili,SAS,24,43,23,20,15.3,116.4,2.7,17.8,26,0.3,16.1,0.3,24,5.7,4.8,5,17.3,0.029
457,JaMychal Green,GSW,33,57,30,27,14,116.4,2.3,16.4,25.7,0.4,20.3,0.4,34.3,6.8,4.6,4.2,15.5,0.028
458,Clint Capela,ATL,29,65,35,30,26.6,116.4,7.1,26.8,38.6,0.7,18.8,1.2,48.5,8.1,7.2,8.8,30.8,0.052
459,Chuma Okeke,ORL,24,27,8,19,19.2,116.5,2.6,13.2,19.2,0.7,32.2,0.4,17.7,8.3,5.9,7.3,20.2,0.037
460,RJ Barrett,NYK,23,73,40,33,33.9,116.5,4.2,12.1,18,0.4,10.1,0.2,7.1,10.7,9.4,9.8,32.4,0.065
461,Reggie Bullock Jr.,DAL,32,78,37,41,30.3,116.5,3.2,11.2,16.9,0.7,19.4,0.2,7.3,8.8,8.6,8.7,33.4,0.057
462,Keita Bates-Diop,SAS,27,67,18,49,21.7,116.6,2.7,13,18.8,0.7,21.2,0.3,18.2,7.9,6.1,6.5,25.9,0.041
463,Kevin Huerter,SAC,24,75,44,31,29.4,116.6,2.8,10,14,1.1,26,0.3,18.8,10,7.2,7.7,33.7,0.055
464,Jordan Clarkson,UTA,31,61,30,31,32.6,116.6,2.9,8.3,12.9,0.5,13.1,0.2,6.6,12.5,10.7,12.1,37.6,0.061
465,John Butler Jr.,POR,20,19,4,15,11.6,116.7,0.7,6.5,10.4,0.4,21.2,0.5,31,4.1,3.7,4.6,13.1,0.023
465,Kenneth Lofton Jr.,MEM,20,24,15,9,7.3,116.7,1.3,19.8,31.7,0.2,16.7,0.1,15.4,2.5,2.5,2.4,7.7,0.013
467,Blake Wesley,SAS,20,37,9,28,18.1,116.7,1.9,10.1,15,0.7,26.9,0.1,9.3,8.3,5.5,6.9,20.1,0.034
468,Christian Wood,DAL,27,67,33,34,25.9,116.7,6,23.8,36.5,0.4,14.4,1.1,43.4,8.1,8.2,6.4,26.6,0.048
469,Domantas Sabonis,SAC,27,79,47,32,34.6,116.8,9.1,27.5,39.2,0.8,16.7,0.5,25,11.7,8.8,8.5,38.9,0.063
470,De'Aaron Fox,SAC,25,73,44,29,33.4,116.8,3.6,11.1,15.9,1.1,23.4,0.3,13.5,11.1,8.4,8.6,37.6,0.062
471,Isaiah Stewart,DET,22,50,12,38,28.3,116.9,5.8,20.2,30.1,0.4,10.8,0.7,35.4,10.7,8.5,7.3,30.6,0.051
472,Patty Mills,BKN,34,40,18,22,14.2,117,0.9,6.2,10.7,0.4,16.1,0.1,4.5,5.2,5,4.3,16.1,0.026
473,Saddiq Bey,ATL,24,77,24,53,27.6,117,3.4,12.7,19,0.9,20.8,0.2,8,10.3,8.2,8.4,33,0.049
474,Drew Eubanks,POR,26,78,31,47,20.3,117.1,3.7,18.3,28.4,0.5,16.9,1.3,54.8,7.3,6.2,6.6,22.6,0.036
475,Jalen Brunson,NYK,26,68,40,28,35,117.1,3,8.5,12.5,0.9,21.6,0.2,7.7,10.8,9.5,9.7,33.4,0.06
476,Keegan Murray,SAC,22,80,47,33,29.8,117.1,3.5,12.3,17.4,0.8,17.4,0.5,26.4,9.4,7.8,7.5,33.8,0.051
477,Jordan Nwora,IND,24,62,36,26,19.2,117.2,2.9,14.7,22.4,0.4,13.5,0.2,10.6,8.2,5.5,7.3,23.6,0.033
478,LaMelo Ball,CHA,21,36,13,23,35.2,117.3,5.3,14.7,21.4,1.3,20.9,0.3,8,11,10,10.2,40.2,0.062
479,Jerami Grant,POR,29,63,28,35,35.6,117.3,3.7,10.4,15.5,0.8,17.4,0.8,25.9,12.4,10.3,10.4,39.6,0.06
480,Cade Cunningham,DET,21,12,3,9,33.3,117.3,5.2,14.8,22.4,0.8,20,0.6,22.6,12.5,10.8,10.1,40.3,0.058
481,Cody Martin,CHA,27,7,2,5,19.1,117.3,2.3,10.9,16.3,0.6,18.2,0.1,9.1,5.7,5.4,6.9,20,0.033
482,Monte Morris,WAS,28,62,28,34,27.4,117.3,3,10.6,15.3,0.7,21.3,0.2,7.6,8.7,8.6,8.3,30.5,0.046
483,Damian Lillard,POR,32,58,27,31,36.3,117.4,4,11.2,16.7,0.9,17.4,0.3,8.9,13,10.4,11.4,41.4,0.06
484,Mason Plumlee,LAC,33,79,28,51,26,117.4,6,23.8,35,0.6,14,0.6,28,9.6,7.8,6.9,28.8,0.044
485,Jeremy Sochan,SAS,20,56,15,41,26,117.6,3.6,14,21,0.8,18.4,0.4,18.4,9.9,7.3,7.8,30.1,0.042
486,McKinley Wright IV,DAL,24,27,14,13,12.4,117.6,1.4,10.9,17,0.3,24.2,0.2,16.1,4.1,4.7,2.4,15.3,0.02
487,Killian Hayes,DET,21,76,16,60,28.3,117.6,2.5,9.2,14,1.4,33.1,0.4,17.2,10.6,8.9,8.3,31.9,0.045
488,Cam Reddish,POR,23,40,14,26,24.7,117.8,1.8,7,11.1,1,24.7,0.4,15.4,8.7,7.6,8.9,27.6,0.039
489,Marvin Bagley III,DET,24,42,7,35,23.6,117.9,4.2,17.9,26.7,0.5,15,0.7,32.6,8.5,6.9,6.7,25.4,0.036
490,Tyrese Haliburton,IND,23,56,28,28,33.6,117.9,3.1,9.2,14.1,1.6,30.7,0.4,11,11.7,10.9,9.9,37.1,0.051
491,Trendon Watford,POR,22,62,26,36,19.1,117.9,3.2,17.3,27.1,0.5,18,0.2,13.2,7.6,5.9,6,21.2,0.029
492,Bones Hyland,LAC,22,56,36,20,19.4,118,2.1,11.1,16.7,0.7,25.8,0.3,16.3,8,5.3,5.5,21.4,0.029
493,Andrew Nembhard,IND,23,75,32,43,27.6,118.2,2.2,7.8,12.1,0.9,22.6,0.2,5.1,10.5,9.1,8.8,31.4,0.04
494,Gorgui Dieng,SAS,33,31,3,28,11.6,118.2,2.6,22,32,0.1,10.3,0.5,50,4.5,3.3,4,11.8,0.017
495,Simone Fontecchio,UTA,27,52,25,27,14.7,118.3,1.1,7,10.5,0.3,15,0.2,9.5,6.6,5,4.5,16.1,0.021
496,Gary Payton II,GSW,30,22,13,9,16.7,118.3,2,12.1,18.9,1,44,0.2,12.2,5.5,4.9,4.1,17.6,0.023
497,Aleksej Pokusevski,OKC,21,34,16,18,20.6,118.3,3.4,16,24.5,0.6,18.3,1.3,50.6,7.8,6.6,5.8,22.2,0.029
498,Doug McDermott,SAS,31,64,19,45,20.5,118.4,1.8,8.5,13.1,0.2,8.2,0.1,5,7.9,6.5,6.3,24,0.029
499,Shaedon Sharpe,POR,20,80,32,48,22.2,118.4,2.2,10.2,15.4,0.5,15.1,0.3,14.4,9.2,5.7,7.4,24.2,0.031
500,Jay Huff,WAS,25,7,2,5,13.6,118.5,2.1,15.3,24.6,0.4,15,0.6,44.4,5.9,4.1,2.7,13.4,0.02
501,Aaron Nesmith,IND,23,73,30,43,24.9,118.5,2.9,11.9,18.4,0.8,20.4,0.5,14.7,9.3,7.7,7.7,27.6,0.033
502,Stanley Johnson,SAS,27,30,5,25,15.6,118.5,2.4,15,23.6,0.5,27.6,0.2,19.4,6.3,5.2,5.1,17.9,0.021
503,KJ Martin,HOU,22,82,22,60,28,118.7,4,14.3,21,0.5,11.8,0.4,14.6,11.7,7.5,10.2,29.3,0.037
504,Tre Jones,SAS,23,68,20,48,29.2,118.8,2.8,9.9,14.9,1.3,28.2,0.1,5.8,10.3,9.3,8.6,35,0.037
505,Julian Champagnie,SAS,22,17,7,10,18.8,118.8,2.9,14.7,20.9,0.4,15,0.3,16.1,7.8,7.1,7.2,21.5,0.024
506,Devin Vassell,SAS,22,38,12,26,31,118.8,3.7,12.5,18.9,1.1,22.5,0.4,16.7,12.6,9.4,10.6,37.4,0.039
507,Cody Zeller,MIA,30,15,6,9,14.4,119,2.6,20,30,0.2,13,0.3,26.7,6.5,2.5,4.4,15.5,0.018
508,Day'Ron Sharpe,BKN,21,48,22,26,11.5,119,2.1,19,29.8,0.3,18.8,0.7,52.5,5,3.4,3.1,13.3,0.014
509,Josh Christopher,HOU,21,64,16,48,12.3,119.3,0.8,6.8,10.4,0.5,26.6,0.2,17.4,5.3,3.8,4.3,13,0.014
510,Keon Johnson,POR,21,40,13,27,10.4,119.3,0.8,8.6,13.2,0.5,30.2,0.2,18.2,4.4,3,3.4,11.7,0.012
511,Luka Garza,MIN,24,28,15,13,8.7,119.4,1.1,12.8,20,0.1,7.7,0.1,9.1,2.8,2.6,2.5,9.3,0.01
512,Malaki Branham,SAS,20,66,15,51,23.5,119.4,2.3,9.8,14.7,0.5,15,0.1,5.8,8.8,7.5,7.4,27.8,0.026
513,Bojan Bogdanovic,DET,34,59,15,44,32.1,119.5,3.2,9.9,15.2,0.6,13.1,0.1,5.7,12.5,10.6,9.1,37.3,0.034
514,Kevin Porter Jr.,HOU,23,59,18,41,34.3,119.5,4,11.7,17.2,1.4,27.9,0.3,10.1,14.6,9.7,12.5,34.6,0.036
515,Jamaree Bouyea,WAS,24,5,2,3,14.1,119.7,1,8.6,12.2,0.8,50,0.4,33.3,4.8,1.6,4,16.4,0.013
516,Nassir Little,POR,23,54,22,32,18.1,119.9,2.1,12.2,19,0.4,16.4,0.4,26,7.3,4.8,5.8,19.8,0.017
517,Jalen Green,HOU,21,76,20,56,34.2,120,3.2,9.3,13.5,0.8,15.4,0.2,7.8,14.9,9.4,13.2,36.2,0.032
518,Thanasis Antetokounmpo,MIL,30,37,25,12,5.6,120.1,0.8,13.9,20.3,0.1,12,0.1,20,2.8,1.8,2.2,6.3,0.005
519,Jaden Ivey,DET,21,74,16,58,31.1,120.1,2.9,9.4,14.2,0.8,20.1,0.2,10.1,12.3,9.4,9.7,35.1,0.027
520,Justin Minaya,POR,24,4,0,4,22.2,120.2,3,13.5,23.1,0.5,13.3,1.3,41.7,6,7.8,7.5,28,0.02
521,Alperen Sengun,HOU,20,75,18,57,28.9,120.3,5.8,20.4,29.3,0.9,23.2,0.9,36.6,11.9,8.1,11.4,29.6,0.024
522,Jabari Smith Jr.,HOU,20,79,21,58,31,120.4,5.7,18,26.6,0.5,12.7,0.9,31.9,12.7,8.9,11.6,32.7,0.025
