,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
1,J.P. Macura,CLE,25,1,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.017
2,Henry Ellenson,BKN,23,5,2,3,3,54.3,0.8,19,25,0,0,0,0,0.6,0.6,0.8,2.4,0.063
3,Marques Bolden,CLE,22,1,0,1,2.8,57.1,2,50,66.7,1,100,0,0,0,0,0,0,0.062
4,Daryl Macon,MIA,24,4,4,0,3.5,71,0,0,0,0,0,0,0,1,1,0.8,2.5,0.053
5,Charlie Brown Jr.,ATL,23,10,1,9,4,73,0.2,4.8,7.1,0.2,20,0.2,66.7,0.2,0.6,0,2.2,0.056
6,Matt Mooney,CLE,25,4,0,4,4.7,75,0.8,15.8,23.1,0.5,66.7,0.3,25,0.8,1,0.8,3.5,0.063
7,Tyler Zeller,SAS,30,2,1,1,1.9,77.8,0.5,33.3,50,0,0,0,0,0,0,0,0,0.026
8,Naz Mitrou-Long,IND,26,5,3,2,9.4,78.8,1.4,11.9,15.2,0.2,25,0.2,16.7,2.8,1.6,1.6,6.8,0.113
9,Justin Robinson,WAS,22,9,2,7,5.4,81,0.4,9.8,14.3,0,0,0.1,50,1.1,0.9,0.7,3.1,0.057
10,Josh Magette,ORL,30,8,3,5,4.7,87.3,0.6,12.8,18.5,0.4,27.3,0.1,20,1.6,1.4,0.8,3.8,0.044
11,Malik Newman,CLE,23,1,0,1,3.7,87.5,0,0,0,0,0,0,0,2,3,0,4,0.036
11,Max Strus,CHI,24,2,0,2,3.1,87.5,0,0,0,0,0,0,0,0.5,0,0,1,0.035
13,Amile Jefferson,ORL,27,18,5,13,4.1,88.4,0.7,16.3,23.6,0.1,6.7,0.2,42.9,0.7,1,0.9,3.8,0.037
14,Tacko Fall,BOS,24,7,5,2,4.6,88.7,2,32.6,45.2,0.1,25,0.6,80,1.6,0.7,1,1.4,0.043
15,Stanton Kidd,UTA,28,4,3,1,3.8,88.9,0.8,15.8,20,0,0,0,0,2.3,0.5,1,4,0.038
16,Andre Roberson,OKC,28,7,3,4,12.4,91.1,2.9,20.4,29,0.1,6.3,0.4,50,5.1,2,3.6,11.7,0.107
17,Josh Gray,NOP,26,2,1,1,11.4,91.5,0.5,4,6.7,0,0,0,0,7,4,5.5,11,0.087
