,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
1,Greg Whittington,DEN,28,4,3,1,3,70.4,0,0,0,0,0,0,0,0,0,1.5,1.5,0.048
2,Marques Bolden,CLE,23,6,2,4,4.8,70.5,0.5,8.8,12,0.3,33.3,0.3,66.7,1.3,0.7,1.5,1.3,0.073
3,Ashton Hagans,MIN,21,2,0,2,2,81.8,0,0,0,0,0,0,0,1,0.5,0,2,0.029
4,Amida Brimah,IND,27,5,2,3,5.9,82.1,1.2,15,20.7,0,0,1,55.6,1.4,2.8,0.8,4.4,0.071
5,Kostas Antetokounmpo,LAL,23,15,6,9,3.7,83.3,1,21.1,30.6,0.1,10.5,0.3,40,1,1.9,0.5,2.5,0.046
6,Devon Dotson,CHI,21,11,4,7,4.6,83.7,0.3,6.1,8.8,0.4,26.7,0,0,1.1,1,0.2,2.2,0.049
7,Brian Bowen II,IND,22,6,1,5,2.5,84.4,0.5,15.8,27.3,0,0,0,0,1.3,1,0.7,3,0.026
8,Cassius Stanley,IND,21,24,10,14,3.9,88.1,0.5,11,15.6,0,6.3,0.1,8.7,1.1,1.4,1,3.7,0.037
9,Henry Ellenson,TOR,24,2,0,2,19.2,88.2,4.5,20.5,29,0,0,0,0,4,6,8,14,0.193
10,Tyrell Terry,DAL,20,11,2,9,5.1,88.4,0.5,11.8,17.6,0.5,35.7,0,0,2,1.5,1.5,5.1,0.051
11,Spencer Dinwiddie,BKN,28,3,2,1,21.4,88.7,4.3,15.1,22,0.7,22.2,0.3,7.7,5,8,5.3,20,0.21
12,Cristiano Felicio,CHI,28,18,6,12,4.6,89.7,0.9,20.5,27.1,0.2,21.1,0,0,1.7,0.5,1.2,3.2,0.042
13,Adam Mokoka,CHI,22,14,3,11,4,90.3,0.3,7.7,10.8,0.1,13.3,0.1,25,2.4,0.6,0.6,3.7,0.038
14,Tim Frazier,MEM,30,5,5,0,12.4,90.6,1.6,10.7,16,0.4,15.4,0.2,11.1,5.8,2.4,2.2,11.2,0.116
15,Jontay Porter,MEM,21,11,7,4,4.9,92.2,0.9,14.9,23.3,0.3,27.3,0.1,12.5,1.6,1.3,1.2,4.5,0.041
16,Jalen Lecque,IND,21,4,2,2,3,92.6,0.8,20,30,0,0,0,0,1.3,1.5,1,3.5,0.026
17,Anthony Tolliver,PHI,36,11,7,4,9,93.2,0.6,7.1,10.6,0.3,9.4,0.2,13.3,2.6,1.8,1.6,6.2,0.077
18,Bruno Caboclo,HOU,25,6,1,5,6.1,94,1.8,26.8,44,0,0,0.3,50,2.7,1.8,1.5,6.7,0.051
19,Jared Harper,NYK,23,8,5,3,2,95,0.3,9.1,12.5,0,0,0,0,0.5,0.5,0.8,1.3,0.019
20,Iman Shumpert,BKN,31,2,1,1,5.5,95.7,0,0,0,0.5,33.3,0,0,3,1,2.5,6,0.04
21,Dante Exum,HOU,25,6,3,3,19.4,96,2.5,12.9,19,0.7,14.3,0.3,20,7.2,2.8,5.7,15.3,0.141
22,Axel Toupane,MIL,28,8,2,6,7.7,96.3,0.8,8.2,14.3,0.3,12.5,0.4,37.5,2.1,2.5,2.5,5.5,0.055
23,Paul Reed,PHI,22,26,17,9,6.8,96.3,1.2,17.2,25.6,0.4,27,0.5,44.8,2.3,1.3,1.5,4.8,0.05
24,Killian Tillie,MEM,23,18,11,7,10.1,97.7,1,8.2,11.9,0.3,13.9,0.4,42.1,2.6,2.3,2.4,8.6,0.068
25,Darius Miller,OKC,31,18,5,13,10.9,98.1,1.2,10.3,14.7,0.7,38.2,0.3,23.8,4.7,2.6,1.7,10.2,0.073
26,Devontae Cacok,LAL,24,20,8,12,4.9,98.6,1,18.3,28.6,0.3,20,0.2,36.4,1.4,1.9,1,4.4,0.033
