,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
1,Sekou Doumbouya,LAL,21,2,0,2,8.2,40.5,2,18.2,20,1.5,60,1,66.7,1,1,0,3,0.206
2,Jaime Echenique,WAS,25,1,1,0,3.1,50,0,0,0,0,0,0,0,0,0,0,0,0.04
3,Jay Huff,LAL,24,4,0,4,5.1,52.2,0.8,11.1,13,0.3,20,0.3,33.3,0.8,0.8,0.5,1,0.109
4,Nate Hinton,IND,23,2,0,2,1.2,57.1,0,0,0,0,0,0,0,0,0,0,0,0.031
5,Ade Murkey,SAC,24,1,0,1,1.5,66.7,0,0,0,0,0,0,0,0,0,0,2,0.023
5,Ahmad Caver,IND,25,1,0,1,0.8,66.7,0,0,0,0,0,0,0,0,0,0,0,0.023
7,Anthony Lamb,HOU,24,2,0,2,3.8,76.5,0.5,12.5,16.7,0,0,0,0,0,0,1,5,0.052
8,Chandler Hutchison,PHX,26,6,4,2,3.7,82.4,0.8,16.7,25,0,0,0,0,1.3,1,1,4,0.045
8,Feron Hunt,NYK,22,2,2,0,4.2,82.4,0,0,0,0.5,50,0,0,1,2.5,2,5,0.047
10,Joel Ayayi,WAS,22,7,1,6,2.9,82.5,0.3,10.5,16.7,0,0,0,0,0.6,0.9,0.6,2,0.031
11,Malik Newman,CLE,25,1,0,1,7.7,83.3,1,10,16.7,0,0,0,0,0,5,0,4,0.064
12,Trevon Scott,CLE,25,2,1,1,5.7,84.6,0.5,8.3,12.5,0.5,50,0.5,33.3,2,2,1,5,0.067
13,Eugene Omoruyi,DAL,25,4,1,3,4.5,88.1,1.3,27.8,38.5,0,0,0,0,3.5,0,1,3,0.05
14,Jon Teske,MEM,25,3,3,0,2.6,89.5,0.7,28.6,28.6,0.3,100,0,0,1,0,2,3.3,0.027
14,MJ Walker,PHX,24,2,1,1,4.2,89.5,0.5,14.3,20,1,40,0,0,3,0,3,6,0.041
16,Nik Stauskas,BOS,28,8,7,1,4.8,90.2,0.3,4.9,6.7,0,0,0,0,1,1.1,1,4,0.044
17,RJ Nembhard Jr.,CLE,23,14,6,8,4.5,91.1,0.3,5.6,8.5,0.1,10,0,0,1.6,1.1,0.5,4.4,0.037
18,Jaylen Morris,SAS,26,3,0,3,5.3,91.4,0.7,11.8,14.3,0,0,0,0,1.3,0.7,1.7,5.3,0.047
19,Matt Ryan,BOS,25,1,1,0,5.3,91.7,0,0,0,1,50,0,0,3,0,5,4,0.05
20,Mason Jones,LAL,23,4,2,2,12.6,91.9,2.3,14.8,19.1,0.5,50,0,0,4.5,1.8,3,12,0.11
21,Dakota Mathias,MEM,26,6,5,1,2.7,92.1,0.3,15.4,18.2,0.2,33.3,0,0,0.8,0.3,1.3,3.7,0.025
22,Jordan Schakel,WAS,24,4,1,3,7.6,93.8,1.5,18.8,27.3,0.3,50,0,0,3.8,1.5,2.3,5.5,0.061
22,Paris Bass,PHX,26,2,2,0,3.7,93.8,1,22.2,40,0.5,25,0,0,3,0,3,5,0.03
24,Robert Woodard II,SAS,22,12,0,12,3.5,94.4,0.5,14.6,23.1,0.1,16.7,0.1,20,1.1,1,0.9,2.5,0.027
25,Craig Sword,WAS,28,3,1,2,6.3,94.6,0,0,0,1.3,80,0,0,4,1,0,2,0.045
