,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
1,Mindaugas Kuzminskas,NYK,28,1,0,1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.086
1,Naz Mitrou-Long,UTA,24,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.017
3,Nicolas Brussino,ATL,25,4,0,4,2.5,36.4,0.8,20,25,0,0,0,0,0,0,0,1.5,0.065
4,Derrick Williams,LAL,27,2,1,1,4.3,52.2,0.5,14.3,14.3,0,0,0,0,2,0,1,1,0.106
5,Matt Williams Jr.,MIA,24,3,1,2,3.8,54.2,0.3,8.3,10,0,0,0,0,0,0.7,0,2,0.075
6,Jacob Pullen,PHI,28,3,2,1,2,62.5,0,0,0,0,0,0,0,0.7,0.7,0.7,3.3,0.041
7,Vincent Hunter,MEM,23,4,0,4,1.9,75,0.3,16.7,25,0,0,0.3,100,0.5,0,0.5,0.5,0.025
8,Jacob Wiley,BKN,23,5,1,4,6.7,76.4,1.8,22.5,26.5,0.2,20,0,0,2.4,0.4,0.8,5.2,0.084
9,Jeff Withey,DAL,28,10,2,8,3.9,81,0.9,22,28.1,0,0,0.3,50,1.1,1,0.5,2.2,0.045
10,Gordon Hayward,BOS,28,1,0,1,5.3,81.8,1,20,25,0,0,0,0,2,2,2,2,0.057
11,Devin Robinson,WAS,23,1,0,1,13.2,85.2,3,25,30,1,100,0,0,2,0,2,6,0.125
12,Vander Blue,LAL,25,5,1,4,9,85.6,0.2,2.2,2.9,0.2,8.3,0,0,4.8,2,0,6.8,0.086
13,Joakim Noah,NYK,33,7,1,6,5.7,86.2,1.1,20,22.9,0.3,33.3,0.3,66.7,1.3,0.3,1.7,4.9,0.056
14,Dakari Johnson,OKC,22,31,21,10,5.2,87.3,0.6,11.1,15.7,0.2,15.4,0.3,53.3,1.5,0.7,1,3.5,0.046
15,Derrick White,SAS,23,17,7,10,8.2,87.5,1.2,12.8,19.8,0.2,13.8,0.2,16.7,1.8,2.5,1.4,7.3,0.078
16,Marshall Plumlee,MIL,25,8,5,3,6.5,89.6,1.6,24.5,32.5,0,0,0.1,25,3.5,1.3,1,7.8,0.058
17,Gian Clavell,DAL,24,7,0,7,9.1,89.6,0.9,10.2,13.3,0.3,18.2,0,0,3.1,2.1,0.9,6.6,0.078
18,Anthony Brown,MIN,25,1,0,1,3.7,90,0,0,0,0,0,0,0,4,2,0,0,0.04
18,Justin Patton,MIN,21,1,0,1,3.7,90,0,0,0,1,50,0,0,4,2,0,0,0.04
18,Tim Quarterman,HOU,23,3,2,1,4.3,90,1,18.8,21.4,0,0,0,0,4,1.7,3.3,4.7,0.039
21,Lorenzo Brown,TOR,27,14,9,5,9.9,90.7,1,9.7,13.5,0.4,22.7,0,0,2.9,1.8,1.9,7.4,0.073
22,Alan Williams,PHX,25,5,1,4,14.1,90.8,3.8,26,35.8,1,27.8,0.2,11.1,4.6,2.8,2.2,10.8,0.104
23,Udonis Haslem,MIA,38,14,9,5,5.1,92.3,0.5,9.2,13.2,0,0,0.1,40,1.2,1.7,0.6,3.9,0.037
24,Kyle Singler,OKC,30,12,5,7,4.9,92.7,0.8,14.3,21.4,0.1,12.5,0,0,1.6,0.7,1.1,3.3,0.036
25,Joel Bolomboy,MIL,24,6,3,3,6.3,93.8,0.7,12.1,15.4,0.3,22.2,0,0,3,1,1.7,4.7,0.045
26,Luis Montero,DET,25,2,1,1,4,94.1,1,22.2,22.2,0,0,0,0,3,0,1,4,0.028
27,Ivica Zubac,LAL,21,43,19,24,9.5,94.7,1.8,16.8,23.3,0.2,13.3,0.3,34.9,3.3,2,2.2,8.5,0.063
28,Jon Leuer,DET,29,8,5,3,17.1,94.9,3.1,17.9,26.3,0.1,3.3,0.4,42.9,5.9,3.4,2.3,17,0.119
29,Andre Ingram,LAL,32,2,1,1,32.1,95.1,2.5,7.2,9.3,1.5,18.8,1.5,37.5,7.5,4,1,35,0.218
30,Mangok Mathiang,CHA,25,4,3,1,5,95.2,1.8,33.3,38.9,0.3,50,0,0,1.8,0.5,2.3,4.5,0.033
31,Kawhi Leonard,SAS,27,9,5,4,23.3,95.4,4,15.9,22,2,42.9,1,40.9,7.7,6.2,6.1,22.2,0.153
32,Raul Neto,UTA,26,41,28,13,12.2,95.4,1,7.9,10.9,0.3,14.9,0.1,6.2,3.4,2.2,2,9.7,0.079
33,RJ Hunter,HOU,24,5,3,2,9,95.7,1,9.4,12.5,0.6,60,0,0,2.8,2.6,2.6,7.2,0.057
34,Nigel Hayes,SAC,23,9,6,3,13.6,95.7,2,14.5,20,0.2,12.5,0.3,37.5,4.7,3.6,3.6,12,0.082
35,Markelle Fultz,PHI,20,14,11,3,18.1,96.1,2.3,10.5,15.1,0.9,25,0.3,14.3,5.3,5,3.1,16.4,0.119
36,Lucas Nogueira,TOR,25,49,36,13,8.5,96.2,1.4,16,24.3,0.5,25.8,0.9,60.6,2.3,2.6,1.7,7.5,0.053
37,Tony Bradley,UTA,20,9,6,3,3.2,96.8,0.8,25,33.3,0,0,0,0,0.3,0.8,0.8,1.3,0.02
38,Henry Ellenson,DET,21,38,21,17,8.7,97,1.9,20.8,28.3,0.1,8.6,0,0,2.6,2,1.9,8.5,0.053
39,Bruno Caboclo,SAC,22,12,4,8,8.9,97.1,1.3,14.6,20.8,0.3,18.8,0.3,30.8,3.4,2.1,1.9,6.8,0.051
40,Andre Roberson,OKC,26,39,24,15,26.6,97.3,2.8,10.9,15.4,1.2,18.3,0.9,35,7.9,5.1,5.2,21.3,0.153
41,Julyan Stone,CHA,29,23,10,13,7.6,97.3,1.2,15.3,20.1,0.2,16.7,0.1,20,2.3,2.2,1.9,7.1,0.046
42,Chinanu Onuaku,HOU,21,1,0,1,21.6,97.6,3,13.6,23.1,0,0,0,0,8,4,2,16,0.114
43,Langston Galloway,DET,26,58,28,30,14.9,97.6,1.4,8.9,12.7,0.6,23.8,0.1,7.1,4.2,3.1,2.5,12.6,0.086
44,Royce O'Neale,UTA,25,69,43,26,16.7,97.6,3.1,17.5,24.5,0.5,19.1,0.2,11.8,5.1,3.7,2.9,14,0.096
45,Brandan Wright,HOU,30,28,11,17,13.6,97.7,2.2,16.1,24.9,0.5,21,0.9,49.1,4.1,3.4,2.9,10.6,0.077
46,Aron Baynes,BOS,31,81,54,27,18.3,97.7,3.8,19.6,26.3,0.3,10.2,0.6,37.2,5.6,3.9,3.6,15.4,0.104
47,Damian Jones,GSW,23,15,7,8,5.9,97.8,0.6,9.3,15.5,0.1,6.3,0.2,42.9,0.9,2.1,1.3,5.9,0.033
48,Nene,HOU,35,52,42,10,14.6,98.1,2.3,15.6,21.6,0.5,17,0.3,24.6,4.4,3.7,2.7,11.9,0.084
49,Wade Baldwin IV,POR,22,7,4,3,11.5,98.2,1,9,11.9,0.3,16.7,0.1,16.7,4.7,2,3.7,8.9,0.066
50,Rudy Gobert,UTA,26,56,37,19,32.4,98.3,7.8,23.4,32.6,0.8,14.1,2.3,61.7,11.5,7.1,6.5,26.5,0.18
51,Dante Exum,UTA,22,14,10,4,16.8,98.4,1.6,8.3,12.4,0.6,20,0.2,8.1,5.4,5.1,2.9,14.3,0.097
52,Brandon Paul,SAS,27,64,38,26,9,98.5,1,10.9,16,0.4,25.5,0.1,12.3,3.6,2.2,2.1,8.1,0.051
53,Shane Larkin,BOS,25,54,39,15,14.3,98.6,1.4,10.1,14.3,0.5,22.3,0,2.9,4.3,3.4,2.6,13.1,0.077
54,Georges Niang,UTA,25,9,9,0,3.5,98.6,0.7,18.2,23.1,0.2,28.6,0,0,2.1,0.2,0.7,2.7,0.021
55,Dejounte Murray,SAS,21,81,47,34,21.5,98.7,4.3,19.6,27.4,1.2,32.6,0.4,13.4,6.5,5,5.5,18.9,0.117
56,Joel Embiid,PHI,24,63,41,22,30.4,98.9,8.7,25.5,37,0.6,13.2,1.8,51.2,10.7,7.6,5.6,24.3,0.161
57,Isaiah Whitehead,BKN,23,16,2,14,11.2,99,1.4,11.3,15.5,0.5,33.3,0.1,14.3,5.6,2,1.9,11.3,0.061
58,Caleb Swanigan,POR,21,27,16,11,7,99,1.4,20.7,28.5,0.2,15.6,0.1,25,2,1.4,1.8,5.9,0.038
59,Eric Moreland,DET,26,67,32,35,12,99.3,2.9,24.3,36.9,0.5,21.2,0.8,72.9,3,2.4,1.6,10,0.062
60,Marcus Smart,BOS,24,54,38,16,29.9,99.6,2.7,8.5,12.3,1.3,27,0.4,15.3,9.8,7.2,6.1,26.4,0.156
61,Charles Cooke,NOP,23,13,8,5,2.9,100,0.2,4.9,7.7,0.1,33.3,0,0,1.1,0.4,0.4,2.2,0.014
61,Chris Boucher,GSW,25,1,1,0,1.3,100,1,100,100,0,0,0,0,0,0,0,2,0.005
61,JaKarr Sampson,SAC,25,22,6,16,15.6,100,2.6,16.1,23.2,0.4,14.3,1,51.2,4.5,3.8,3.8,12.4,0.077
61,Jack Cooley,SAC,27,7,4,3,12.5,100,2.3,18.4,26.7,0.1,8.3,0,0,3.4,4.1,3,10.9,0.06
61,James Michael McAdoo,PHI,25,3,1,2,6,100,0.7,12.5,16.7,0,0,0.3,100,1.3,0.7,2,6.7,0.031
61,Jarell Eddie,CHI,26,3,1,2,2.9,100,0.3,16.7,16.7,0.3,33.3,0,0,1,0,1,1.3,0.014
61,Josh McRoberts,DAL,31,2,2,0,2.9,100,0,0,0,0,0,0,0,0,0,0.5,0,0.015
61,Kadeem Allen,BOS,25,18,9,9,6,100,0.4,6.7,8.6,0.2,17.6,0.1,28.6,2.1,1.1,1.1,5.8,0.031
61,Matt Costello,SAS,24,4,2,2,8.1,100,2,27.6,40,0.5,50,0.5,66.7,2,3.8,0.5,5.5,0.041
61,PJ Dozier,OKC,21,2,1,1,1.6,100,0.5,20,33.3,0,0,0,0,0,1,0,3,0.009
61,Robert Covington,PHI,27,80,51,29,31.6,100,4.7,13.7,19.3,1.7,28.4,0.9,25.8,11.1,7.7,6.5,26.3,0.158
61,Xavier Silas,BOS,30,2,1,1,3.7,100,0.5,12.5,20,0.5,100,0,0,2.5,2,0,5,0.021
73,Andrew Bogut,LAL,33,24,7,17,9,100.2,2.2,22.3,31.3,0.2,10.8,0.5,54.2,3.5,2.7,2.3,7.8,0.045
74,Ekpe Udoh,UTA,31,63,36,27,12.9,100.3,1.3,10.5,15.1,0.7,25,1.2,67.3,4.1,2.8,2.3,11.1,0.064
75,Dwight Buycks,DET,29,29,10,19,14.7,100.5,1,6.7,9.6,0.7,28.8,0.1,5.9,4.9,3.1,3.2,12.3,0.072
76,Davis Bertans,SAS,25,77,43,34,14.1,100.6,1.8,12.2,17.8,0.3,14.9,0.4,23.5,4.5,3.8,3.3,12.7,0.069
77,Okaro White,CLE,25,6,2,4,13.3,100.6,1.3,9.9,13.8,0.2,16.7,0.2,16.7,5.5,3,2.7,14.7,0.065
78,Nick Collison,OKC,37,15,9,6,5,100.6,0.9,17.6,25,0,0,0,0,1.5,1.3,1.6,3.6,0.024
79,Thabo Sefolosha,UTA,34,38,16,22,21.2,100.8,3.5,17,23.9,1.4,30.4,0.3,13.8,6.9,4.8,3.7,18,0.102
80,Jayson Tatum,BOS,20,80,53,27,30.5,100.8,4.4,13.8,19.9,1,21.8,0.7,23.3,9.5,7.2,6.6,27.2,0.145
81,Alex Caruso,LAL,24,37,16,21,15.2,100.8,1.4,8.6,12.4,0.6,22.3,0.3,20.8,5.6,3.8,4.3,15.7,0.073
82,Brice Johnson,MEM,24,18,2,16,5.4,100.9,1.2,22.7,32.8,0.5,33.3,0.3,60,2.4,1.4,1.7,5.4,0.029
83,Amir Johnson,PHI,31,74,47,27,15.8,101,2.8,16.9,23.5,0.6,19.7,0.6,40.4,6.6,3.7,3.7,14.2,0.076
84,Antonius Cleveland,ATL,24,17,7,10,7.2,101.1,0.6,8.5,12.1,0.4,35,0.3,33.3,2.2,2,1.8,6.6,0.035
85,Fred VanVleet,TOR,24,76,55,21,20,101.1,2.1,10.2,15.5,0.9,25.4,0.3,8.6,5.4,5.6,3.8,17.8,0.092
