,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
1,John Holland,CLE,30,1,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.017
1,Tyler Davis,OKC,22,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1,Tyler Ulis,CHI,23,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.034
4,Kobi Simmons,CLE,21,1,0,1,1.8,33.3,0,0,0,0,0,0,0,0,0,0,0,0.037
5,Angel Delgado,LAC,24,2,0,2,7.4,68.8,1,14.3,18.2,0.5,14.3,0,0,1,0,2,8,0.11
6,Kalin Lucas,DET,30,1,0,1,5.6,75,3,50,75,0,0,0,0,2,0,2,2,0.076
7,Tahjere McCall,BKN,24,1,0,1,8,78.9,1,20,33.3,0,0,0,0,0,4,0,8,0.105
8,RJ Hunter,BOS,25,1,1,0,25.7,79.2,2,5,8,1,25,0,0,0,9,0,14,0.294
9,Yante Maten,MIA,22,2,1,1,6.5,85.2,1,9.5,22.2,0.5,33.3,0,0,1,4,1.5,7,0.065
10,Jaylen Morris,MIL,23,4,4,0,7.1,86.8,1.3,14.7,19.2,0.5,28.6,0,0,1.3,1,0.3,5,0.074
11,Kostas Antetokounmpo,DAL,21,2,1,1,5.3,87,0.5,11.1,12.5,1,50,0,0,1,0,2,3,0.052
12,Andre Ingram,LAL,33,4,1,3,3.7,87.5,0.3,5.3,9.1,0.3,20,0,0,0.5,1,0.5,2.5,0.034
13,Alan Williams,BKN,26,5,1,4,5.1,88.1,3,40.5,53.6,0.2,50,0,0,1,1.4,1.8,5.2,0.05
14,Dzanan Musa,BKN,20,9,4,5,4.4,89.4,0.4,10.5,13.3,0.2,33.3,0,0,0.7,0.6,0.9,4,0.038
15,Isaac Bonga,LAL,19,22,7,15,5.5,89.6,0.7,11.3,15.8,0.4,36,0.2,21.1,1.7,1.5,1.5,4.5,0.049
16,PJ Dozier,BOS,22,6,5,1,8.5,90.1,1.8,17.2,26.2,0.3,25,0,0,1.3,3,1.2,7.3,0.074
17,J.P. Macura,CHA,24,2,1,1,8.4,91.7,1.5,14.3,18.8,0,0,0,0,3.5,1,1,5,0.069
18,Gary Payton II,WAS,26,3,2,1,5.3,92.1,0.3,5,7.1,1,50,0.3,100,0,1,0,3.3,0.046
19,Jarred Vanderbilt,DEN,20,17,10,7,4.1,92.5,0.9,20.5,28.6,0.4,40,0.1,12.5,1.4,0.8,1,4,0.035
20,Deonte Burton,OKC,25,32,21,11,7.5,92.6,0.8,9,13.5,0.2,11.3,0.3,27.6,2.2,1.8,2.1,6.8,0.057
21,Ike Anigbogu,IND,20,3,2,1,2.1,92.9,0.7,25,50,0,0,0.3,100,0.7,1.3,1,3.3,0.017
21,Okaro White,WAS,26,3,2,1,2.1,92.9,0.3,14.3,25,0,0,0,0,1,0,0,2,0.017
23,DJ Stephens,MEM,28,1,0,1,6.7,93.8,0,0,0,1,20,0,0,0,2,0,6,0.058
24,Theo Pinson,BKN,23,18,7,11,11.7,94.3,1.8,12.6,18.2,0.3,18.2,0,0,3.7,2.7,2.9,10.6,0.086
25,Ron Baker,WAS,26,15,4,11,10.1,94.9,0.7,6.9,10,0.4,27.3,0.1,6.7,4.5,2.7,2.4,11.2,0.073
26,Mitchell Creek,MIN,27,5,1,4,9.4,96.1,1.2,10.5,19.4,0.4,18.2,0,0,2,5,1.2,11.2,0.064
27,Malachi Richardson,TOR,23,22,16,6,4.7,96.2,0.5,8.7,12.6,0,5.9,0,0,2.3,1.3,1.6,5.3,0.034
28,Davon Reed,IND,24,10,4,6,4.7,96.3,0.4,7.3,12.1,0.1,9.1,0,0,1,1.7,1.4,3.6,0.035
29,Quincy Acy,PHX,28,10,2,8,12.3,96.4,2.2,15.3,24.7,0.1,4.5,0.4,25,3.8,5.1,1.9,9.6,0.087
30,Thomas Welsh,DEN,23,11,8,3,3.3,97.7,0.4,11.4,16,0,0,0,0,0.1,0.7,1.5,3.6,0.024
31,Sindarius Thornwell,LAC,24,64,37,27,4.9,97.7,0.6,10.8,15.7,0.2,24.1,0.1,17.5,1.9,1.1,1.6,4.9,0.033
32,Brad Wanamaker,BOS,29,36,27,9,9.5,97.8,1.1,9.6,13.8,0.3,19,0.1,4.7,2.9,2.9,2.3,8.7,0.059
33,Jemerrio Jones,LAL,24,6,3,3,23.9,98,5.5,19.8,27,1.2,36.8,0.8,26.3,10.2,7,9,21,0.141
34,Raymond Felton,OKC,35,33,19,14,11.5,98.3,0.9,7.4,11.2,0.3,13.7,0.2,11.8,3.2,3.5,2.9,11.8,0.069
35,Donte DiVincenzo,MIL,22,27,20,7,15.2,98.4,1.8,9.9,14.1,0.5,20.6,0.2,14,4,3.7,3,12.8,0.094
36,Raul Neto,UTA,27,37,26,11,12.8,98.6,1.5,10.5,15.1,0.4,17.1,0.1,6.3,4.1,3.1,2.6,13.8,0.078
37,Brandon Goodwin,DEN,23,16,10,6,3.6,99.2,0.1,3.8,5.3,0,0,0,0,0.9,1,0.4,3.6,0.021
38,Luc Mbah a Moute,LAC,32,4,2,2,15.3,99.3,1.3,6.5,9.6,0.3,14.3,0.3,14.3,6,6.3,5.3,18,0.094
39,Thabo Sefolosha,UTA,35,50,28,22,12.2,99.5,2.3,18.1,24.6,0.9,32.1,0.1,6.2,3.7,2.5,2.9,12.2,0.069
40,Alex Abrines,OKC,25,31,21,10,19,99.8,1.4,6.7,9.9,0.5,13.9,0.2,7.7,6.6,5.2,5.3,19.4,0.106
41,Trevon Duval,HOU,20,3,2,1,1.9,100,0.3,20,25,0,0,0,0,1.3,0.7,0.7,2.7,0.011
