,Name,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Joel Embiid,PHI,29,66,43,23,34.6,33.1,11,20.1,54.8,1,3,33,10,11.7,85.7,1.7,8.4,10.2,4.2,3.4,1,1.7,3.1,56.2,39,1,6.4
2,Luka Doncic,DAL,24,66,33,33,36.2,32.4,10.9,22,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8,3.6,1.4,0.5,2.5,56.8,36,10,1.9
3,Damian Lillard,POR,32,58,27,31,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4,4.8,7.3,3.3,0.9,0.3,1.9,49.1,16,2,1.8
4,Shai Gilgeous-Alexander,OKC,24,68,33,35,35.5,31.4,10.4,20.3,51,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4,4.8,5.5,2.8,1.6,1,2.8,50.4,3,0,2.2
5,Giannis Antetokounmpo,MIL,28,63,47,16,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46,6,5.4
6,Jayson Tatum,BOS,25,74,52,22,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35,7.2,8.4,85.4,1.1,7.7,8.8,4.6,2.9,1.1,0.7,2.2,49.9,31,1,6.4
7,Stephen Curry,GSW,35,56,30,26,34.7,29.4,10,20.2,49.3,4.9,11.4,42.7,4.6,5,91.5,0.7,5.4,6.1,6.3,3.2,0.9,0.4,2.1,46.8,12,1,4.8
8,Kevin Durant,PHX,34,47,34,13,35.6,29.1,10.3,18.3,56,2,4.9,40.4,6.5,7.1,91.9,0.4,6.3,6.7,5,3.3,0.7,1.4,2.1,47.7,5,1,5.5
9,LeBron James,LAL,38,55,30,25,35.5,28.9,11.1,22.2,50,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,3.2,0.9,0.6,1.6,50.3,18,2,3.9
10,Donovan Mitchell,CLE,26,68,44,24,35.8,28.3,10,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,2.6,1.5,0.4,2.5,42.9,5,0,5
11,Devin Booker,PHX,26,53,34,19,34.6,27.8,9.9,20.1,49.4,2.1,6,35.1,5.8,6.8,85.5,0.9,3.7,4.5,5.5,2.7,1,0.3,3,42.7,5,0,4.7
12,Kyrie Irving,DAL,31,60,32,28,37.3,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1,4.1,5.1,5.5,2.1,1.1,0.8,2.8,44.8,5,0,3.7
13,Jaylen Brown,BOS,26,67,46,21,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,1.2,5.7,6.9,3.5,2.9,1.1,0.4,2.6,41.6,13,0,3.8
14,Trae Young,ATL,24,73,38,35,34.8,26.2,8.2,19,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3,10.2,4.1,1.1,0.1,1.4,44.6,40,0,1.4
15,Ja Morant,MEM,23,61,40,21,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,1,4.9,5.9,8.1,3.4,1.1,0.3,1.6,46,20,7,5
16,Zion Williamson,NOP,22,29,17,12,33,26,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2,5,7,4.6,3.4,1.1,0.6,2.2,42.8,5,0,5.1
17,Anthony Davis,LAL,30,56,31,25,34,25.9,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,3.5,9.1,12.5,2.6,2.2,1.1,2,2.6,52,40,0,3.7
18,Lauri Markkanen,UTA,26,66,32,34,34.4,25.6,8.7,17.3,49.9,3,7.7,39.2,5.3,6,87.5,2,6.7,8.6,1.9,1.9,0.6,0.6,2.1,40.5,28,0,2.5
19,Julius Randle,NYK,28,77,44,33,35.5,25.1,8.5,18.6,45.9,2.8,8.3,34.3,5.2,6.9,75.7,1.8,8.1,10,4.1,2.8,0.6,0.3,3,43.2,40,0,2.2
20,De'Aaron Fox,SAC,25,73,44,29,33.4,25,9.3,18.2,51.2,1.6,5,32.4,4.7,6,78,0.5,3.6,4.2,6.1,2.5,1.1,0.3,2.4,41.1,11,0,2.4
21,Zach LaVine,CHI,28,77,38,39,35.9,24.8,8.7,18,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9,0.2,2.1,37.5,2,0,0.2
22,Brandon Ingram,NOP,25,45,23,22,34.2,24.7,9,18.6,48.4,1.4,3.6,39,5.3,6,88.2,0.5,5,5.5,5.8,3.3,0.7,0.4,2.6,40.1,6,2,2.1
23,Anthony Edwards,MIN,21,79,40,39,36,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4,5.3,75.6,0.6,5.2,5.8,4.4,3.3,1.6,0.7,2.4,41.9,9,0,1.2
24,DeMar DeRozan,CHI,33,74,37,37,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,2.1,1.1,0.5,2.5,40.5,6,0,0.9
25,Nikola Jokic,DEN,28,69,48,21,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6,82.2,2.4,9.4,11.8,9.8,3.6,1.3,0.7,2.5,55.7,58,29,9.3
26,Pascal Siakam,TOR,29,71,35,36,37.4,24.2,8.9,18.5,48,1.3,4,32.4,5.2,6.7,77.4,1.8,6,7.8,5.8,2.4,0.9,0.5,3.2,44.3,24,2,1.7
27,Jalen Brunson,NYK,26,68,40,28,35,24,8.6,17.6,49.1,2,4.7,41.6,4.8,5.8,82.9,0.6,3,3.5,6.2,2.1,0.9,0.2,2.2,38.8,5,0,2.2
28,Kawhi Leonard,LAC,32,52,33,19,33.6,23.8,8.6,16.8,51.2,2,4.8,41.6,4.7,5.4,87.1,1.1,5.4,6.5,3.9,1.7,1.4,0.5,1.6,41.6,4,0,4.2
29,Paul George,LAC,33,56,32,24,34.6,23.8,8.2,17.9,45.7,2.8,7.6,37.1,4.6,5.3,87.1,0.8,5.3,6.1,5.1,3.1,1.5,0.4,2.8,41.2,8,1,2.8
30,LaMelo Ball,CHA,21,36,13,23,35.2,23.3,8.2,20,41.1,4,10.6,37.6,2.8,3.4,84.3,1.2,5.3,6.4,8.4,3.6,1.3,0.3,3.3,44.8,17,3,-4.2
31,Bradley Beal,WAS,30,50,24,26,33.5,23.2,8.9,17.6,50.6,1.6,4.4,36.5,3.8,4.6,84.2,0.8,3.1,3.9,5.4,2.9,0.9,0.7,2.1,37.8,2,0,0.8
32,Kristaps Porzingis,WAS,27,65,27,38,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,1.8,6.6,8.4,2.7,2.1,0.9,1.5,3,42.4,20,0,1.2
33,Jimmy Butler,MIA,33,64,35,29,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35,7.4,8.7,85,2.2,3.7,5.9,5.3,1.6,1.8,0.3,1.3,42.8,11,0,0.7
34,Jalen Green,HOU,21,76,20,56,34.2,22.1,7.4,17.9,41.6,2.5,7.3,33.8,4.8,6.1,78.6,0.6,3.2,3.7,3.7,2.6,0.8,0.2,1.7,32.6,0,0,-5.9
35,Keldon Johnson,SAS,23,63,17,46,32.8,22,8,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,0.9,4.2,5,2.9,2.1,0.7,0.2,2,33,5,0,-7.8
36,Klay Thompson,GSW,33,69,38,31,33,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,1.8,0.7,0.4,1.9,32,2,0,2.4
37,Darius Garland,CLE,23,69,40,29,35.5,21.6,7.6,16.4,46.2,2.4,6,41,4,4.7,86.3,0.4,2.3,2.7,7.8,2.9,1.2,0.1,2.1,37.7,18,0,6.3
